"Name","Demo","AdRate","L7","L7Bump","Viewers"
"Quantico",1.23181818181818,102430,2.58181818181818,1.09594095940959,4.34359090909091
"The Blacklist",1.42608695652174,136730,2.81304347826087,0.972560975609756,6.82817391304348
"Jane the Virgin",0.368181818181818,25495,0.705,0.958333333333333,0.9545
"Elementary",0.958333333333333,63525,1.7952380952381,0.866336633663367,5.73845833333333
"How to Get Away with Murder",1.87333333333333,215055,3.49333333333333,0.864768683274021,6.24933333333333
"Scream Queens",1.1,121438,2.03076923076923,0.846153846153846,2.78853846153846
"Blindspot",1.82608695652174,120086,3.33478260869565,0.826190476190476,6.92265217391304
"Agents of SHIELD",1.17272727272727,102254,2.14090909090909,0.825581395348837,3.43486363636364
"Supernatural",0.708695652173913,32373,1.21875,0.805555555555556,1.77491304347826
"Legends of Tomorrow",0.8,39020,1.36428571428571,0.785046728971963,2.1669375
"Sleepy Hollow",0.822222222222222,56860,1.46875,0.766917293233083,3.06477777777778
"Modern Family",2.55454545454545,208938,4.43181818181818,0.734875444839857,7.91795454545455
"Lucifer",1.46923076923077,111063,2.54615384615385,0.732984293193717,4.56246153846154
"Gotham",1.4,122680,2.41818181818182,0.727272727272727,4.09054545454546
"Bones",0.986363636363636,96459,1.54615384615385,0.717948717948718,4.86754545454545
"Scandal",2.04761904761905,177213,3.5047619047619,0.711627906976744,7.1767619047619
"Law and Order: SVU",1.61304347826087,102406,2.75217391304348,0.706199460916442,6.8944347826087
"Chicago PD",1.55217391304348,115619,2.63913043478261,0.700280112044818,6.88047826086957
"Grey's Anatomy",2.22083333333333,219152,3.75833333333333,0.692307692307692,8.04133333333333
"Criminal Minds",1.78636363636364,107265,3.01818181818182,0.689567430025446,9.01104545454545
"Arrow",0.939130434782609,44941,1.52142857142857,0.677165354330709,2.48939130434783
"Once Upon a Time",1.36521739130435,110710,2.25217391304348,0.64968152866242,4.39673913043478
"Hawaii Five-0",1.132,69911,1.88125,0.635869565217391,8.7122
"Brooklyn Nine-Nine",1.20869565217391,101803,1.78571428571429,0.633986928104575,2.73278260869565
"New Girl",1.11363636363636,102329,1.87142857142857,0.627329192546584,2.51659090909091
"Code Black",1.25555555555556,78481,2.08181818181818,0.624113475177305,7.11388888888889
"Chicago Fire",1.75652173913043,154479,2.83478260869565,0.613861386138614,8.00852173913044
"Blue Bloods",1.24090909090909,72211,2.02857142857143,0.613636363636363,10.5164545454545
"Black-ish",1.78333333333333,139828,2.84166666666667,0.593457943925234,5.84758333333333
"Family Guy",1.48,129428,2.25,0.573426573426573,3.0912
"The Big Bang Theory",3.73333333333333,253099,5.85416666666667,0.568080357142857,15.2155416666667
"Scorpion",1.7734693877551,97864,2.75714285714286,0.554660529344074,9.63963265306122
"Hell's Kitchen",1.125,77561,1.72857142857143,0.551282051282051,3.5609375
"MasterChef Junior",1.23333333333333,86609,1.6,0.523809523809524,4.1205
"Shark Tank",1.42068965517241,97537,2.09090909090909,0.513157894736842,5.87393103448276
"Last Man Standing",1.2,81303,1.9,0.507936507936508,6.74313636363636
"Fresh Off the Boat",1.325,101045,1.83333333333333,0.506849315068493,4.439875
"Dr. Ken",1.11363636363636,61217,1.5,0.5,5.26472727272727
"Rosewood",1.34545454545455,71881,1.2,0.5,4.80295454545455
"Supergirl",1.675,54030,2.52352941176471,0.484429065743945,7.68365
"Chicago Med",1.71111111111111,128918,2.49411764705882,0.482517482517482,7.95305555555556
"Empire",4.41666666666667,442413,6.64117647058824,0.479685452162516,11.4627222222222
"The Goldbergs",2.04166666666667,154120,2.97916666666667,0.459183673469388,6.63583333333333
"2 Broke Girls",1.61363636363636,109882,2.34117647058823,0.452554744525547,6.42404545454546
"NCIS: New Orleans",1.74583333333333,91604,2.54,0.426966292134831,12.97775
"NCIS",2.2125,146268,3.1375,0.418079096045198,16.61025
"The Middle",1.87916666666667,123594,2.61176470588235,0.40952380952381,7.32829166666667
"Bob's Burgers",1.03684210526316,65019,1.4,0.4,2.28784210526316
"Mom",1.68181818181818,111939,2.35,0.382352941176471,7.91172727272727
"The Real O'Neals",1.10769230769231,71869,1.5,0.363636363636364,3.93876923076923
"Crazy Ex-Girlfriend",0.294444444444444,16707,0.4,0.333333333333333,0.8695
"Madam Secretary",1.2,84825,1.9,0.325581395348837,10.1243913043478
"The Bachelor",2.35652173913043,126515,2.96666666666667,0.318518518518519,7.96726086956522
"The Odd Couple",1.40769230769231,104069,1.2,0.263157894736842,6.73607692307692
"48 Hours",0.810344827586207,36069,1,0.25,4.74337931034483
"The Voice Fall",3.11538461538462,212775,3.77142857142857,0.23943661971831,12.0201538461538
"20/20",1.10909090909091,72190,0.8,0.142857142857143,5.11330303030303
"60 Minutes",1.61780821917808,113597,2.8,0.0370370370370369,11.1774794520548
